time,AF3,F7,F3,FC5,T7,P7,O1
6.508,55.453,55.807,55.602,56.615,54.907,55.804,52.743
6.516,64.220,61.587,62.056,61.932,60.264,61.119,63.299
6.523,65.510,63.422,63.969,62.285,62.387,62.732,64.375
6.531,60.011,57.922,58.291,59.129,58.689,59.023,59.801
6.539,54.648,55.196,55.815,55.353,53.529,56.214,52.549
6.547,51.970,51.681,51.226,52.549,53.560,52.754,52.903
6.555,49.344,50.249,50.119,49.524,48.106,52.611,50.261
6.562,51.375,48.622,50.945,48.731,48.876,49.986,46.894
6.570,45.694,45.970,42.108,45.871,45.177,42.375,43.305
6.578,37.746,41.916,41.964,39.890,43.001,41.031,42.302
6.586,40.078,42.803,40.692,42.247,41.243,44.467,43.769
6.594,52.122,51.017,49.152,50.402,50.164,51.616,47.992
6.602,63.640,61.960,61.914,65.219,64.226,61.159,60.944
6.609,74.902,75.364,73.356,71.660,74.198,74.414,73.698
6.617,78.929,78.432,78.034,76.210,79.404,79.689,79.730
6.625,74.405,75.896,77.238,76.001,74.150,76.554,75.240
6.633,70.719,66.607,69.282,70.219,67.148,69.987,69.444
6.641,62.561,62.686,61.267,62.370,62.231,62.958,60.484
6.648,57.840,60.795,57.243,58.277,58.059,58.024,57.385
6.656,57.634,56.785,56.648,52.905,54.863,53.636,54.793
6.664,49.754,50.533,47.194,47.731,51.220,50.707,50.122
6.672,43.539,41.337,42.609,45.434,42.171,40.560,41.919
6.680,35.363,37.859,35.409,35.956,35.472,36.182,35.172
6.688,38.955,39.265,37.405,37.482,38.245,37.857,38.131
6.695,45.124,44.470,44.028,44.500,46.513,44.490,47.988
6.703,53.274,57.513,57.253,57.671,54.627,53.890,53.779
6.711,63.771,65.809,63.063,63.203,64.198,65.021,61.968
6.719,63.061,64.910,65.833,63.535,66.663,63.391,62.851
6.727,58.298,60.251,55.497,55.791,57.209,57.356,60.045
6.734,49.983,49.021,53.541,51.029,48.271,48.526,48.094
6.742,42.304,45.687,45.367,43.357,45.969,43.207,40.906
6.750,38.769,38.848,40.217,40.858,38.244,39.420,40.235
6.758,35.150,32.036,33.649,33.475,33.859,32.557,32.428
6.766,27.716,27.074,24.582,23.932,28.811,24.733,26.000
6.773,20.044,21.255,18.989,20.367,18.932,20.534,17.677
6.781,12.540,11.929,15.495,12.779,15.246,16.047,16.710
6.789,15.362,15.779,14.602,15.368,14.914,15.053,17.173
6.797,24.167,25.601,24.270,25.748,22.492,22.642,22.938
6.805,32.152,34.895,33.761,34.322,35.082,35.968,35.110
6.812,39.693,40.277,40.246,39.335,42.961,44.253,40.287
6.820,42.915,39.544,42.275,41.831,43.188,42.010,40.877
6.828,34.248,34.731,34.500,36.131,37.982,35.711,35.786
6.836,27.124,29.192,30.310,31.260,25.419,25.856,29.956
6.844,21.326,25.513,23.706,22.988,23.421,24.130,21.750
6.852,18.097,19.748,19.922,18.572,16.846,17.836,18.462
6.859,15.554,18.426,16.349,15.899,17.797,15.723,17.340
6.867,10.953,11.062,9.710,11.761,11.363,11.862,8.805
6.875,5.199,3.263,6.869,6.906,5.107,5.675,7.164
6.883,3.378,4.852,5.264,2.890,2.122,5.322,2.292
6.891,7.169,6.767,10.000,9.904,6.207,6.953,9.908
6.898,19.477,21.838,22.571,20.538,22.590,20.299,17.953
6.906,33.529,31.629,31.023,32.876,32.451,29.919,31.449
6.914,41.918,40.712,39.206,40.637,38.615,38.633,40.252
6.922,40.994,40.541,41.265,39.838,41.447,41.956,37.724
6.930,36.939,36.415,37.138,34.130,36.737,37.558,34.731
6.938,34.400,30.097,33.835,33.100,33.343,31.711,30.882
6.945,29.202,26.428,28.405,28.812,27.371,28.443,28.057
6.953,27.507,27.342,25.960,29.506,28.004,26.239,28.884
6.961,28.061,23.988,23.540,28.323,28.944,27.573,25.656
6.969,24.549,23.342,24.419,22.127,25.295,21.854,23.992
6.977,17.313,20.793,21.128,19.925,18.684,18.213,17.958
6.984,17.869,22.501,18.656,20.453,17.841,19.363,23.087
6.992,27.600,28.270,29.700,28.036,27.134,26.407,27.434
7.000,42.379,39.617,43.532,39.756,42.235,41.642,41.119
7.008,54.228,54.753,53.077,52.597,54.034,53.690,52.810
7.016,59.219,63.296,62.424,61.986,63.286,63.014,63.346
7.023,59.972,64.675,60.780,63.348,63.866,60.996,60.346
7.031,55.890,59.271,59.712,60.292,57.392,60.029,60.671
7.039,55.851,54.045,53.460,51.345,53.175,53.999,55.147
7.047,54.214,50.804,53.243,52.586,50.918,55.340,52.855
7.055,53.948,53.208,50.859,53.796,52.079,52.485,49.511
7.062,50.578,48.414,51.126,48.136,46.260,48.553,45.652
7.070,43.554,44.262,44.644,45.464,41.268,42.227,44.416
7.078,40.629,42.607,42.745,37.843,42.396,42.492,41.387
7.086,41.323,40.289,41.180,41.074,42.653,41.487,43.086
7.094,47.652,50.362,51.060,48.347,48.942,50.790,52.306
7.102,61.450,61.432,63.842,65.198,60.946,65.470,63.074
7.109,75.505,72.156,74.311,73.244,74.378,72.286,75.707
7.117,75.785,79.539,78.586,75.221,75.305,78.433,79.893
7.125,75.635,74.882,77.033,72.786,74.337,76.968,77.016
7.133,67.815,69.816,68.172,70.075,68.414,68.709,67.775
7.141,62.241,65.503,60.559,62.337,62.325,64.328,60.555
7.148,59.447,56.309,60.229,56.738,58.714,59.184,60.313
7.156,54.833,55.801,54.373,56.552,58.043,52.735,56.763
7.164,48.441,50.731,48.635,49.519,50.062,52.233,47.236
7.172,42.714,42.585,42.761,40.377,43.781,45.210,44.396
7.180,37.784,36.496,38.573,40.789,36.136,39.562,38.543
7.188,39.164,37.123,38.236,39.917,37.635,39.810,38.205
7.195,45.995,48.242,46.008,47.541,46.800,42.354,42.926
7.203,54.301,54.584,55.687,56.185,52.800,58.868,56.972
7.211,62.825,62.169,63.562,63.984,63.956,62.436,62.268
7.219,61.556,62.043,64.531,66.528,63.141,62.915,64.496
7.227,57.988,59.145,55.141,56.978,58.333,56.488,58.749
7.234,51.970,48.907,50.801,48.380,49.433,49.212,52.415
7.242,45.536,40.884,40.555,42.475,45.341,42.897,42.560
7.250,36.967,38.274,37.691,39.075,39.870,36.702,38.483
7.258,35.790,32.299,32.416,34.927,32.578,33.241,33.411
7.266,25.051,26.070,26.202,24.152,24.461,26.640,25.212
7.273,18.762,16.889,20.541,17.360,18.020,18.854,19.457
7.281,15.395,15.048,15.524,12.161,14.739,13.752,16.406
7.289,15.018,18.102,14.728,14.942,16.063,18.908,17.079
7.297,22.941,24.337,24.285,24.042,23.411,24.338,24.999
7.305,33.832,32.156,34.418,34.624,34.942,35.933,32.326
7.312,40.771,43.080,42.814,39.837,41.380,43.026,40.522
7.320,38.998,41.194,41.177,39.204,39.444,42.892,42.199
7.328,33.636,37.521,32.614,35.664,32.613,33.571,36.914
7.336,28.245,26.875,25.419,25.527,25.568,28.386,27.994
7.344,22.465,23.856,21.247,21.578,20.488,19.864,23.482
7.352,21.271,21.942,19.758,21.248,19.769,19.310,21.042
7.359,13.264,16.824,16.295,14.923,17.400,14.128,16.893
7.367,10.151,8.198,8.803,11.731,8.081,10.900,8.424
7.375,4.883,4.536,7.455,3.952,6.844,6.555,3.002
7.383,5.215,4.602,4.468,5.232,5.346,1.401,1.985
7.391,9.872,5.770,8.768,11.155,10.291,9.701,10.924
7.398,20.674,19.549,19.144,19.039,21.439,19.920,20.986
7.406,30.899,33.065,29.142,33.403,30.434,30.529,31.278
7.414,38.735,40.142,40.769,40.191,41.472,39.929,38.054
7.422,41.782,38.706,41.086,38.786,40.921,41.197,42.220
7.430,36.363,35.254,34.517,38.056,37.104,36.795,33.597
7.438,33.264,31.662,32.394,29.645,30.386,30.035,33.394
7.445,29.721,26.731,26.301,30.920,32.490,30.043,32.014
7.453,26.584,26.440,28.468,27.665,29.695,30.220,27.353
7.461,26.039,25.887,26.283,24.407,27.752,29.272,28.412
7.469,22.750,20.728,23.719,21.926,23.105,22.741,23.657
7.477,18.418,20.842,19.374,16.848,20.902,18.347,18.460
7.484,20.679,18.633,22.240,22.373,19.659,18.276,21.903
7.492,28.556,26.500,30.538,29.680,26.231,26.567,30.159
7.500,40.753,41.753,38.804,42.655,43.898,39.764,44.077
7.508,52.134,54.395,55.272,54.733,55.289,53.233,52.691
7.516,61.153,61.383,59.696,65.088,62.578,60.093,63.705
7.523,60.266,63.948,62.224,61.126,61.197,62.244,65.354
7.531,57.490,60.112,59.002,60.925,58.173,60.461,59.800
7.539,54.766,56.688,53.009,55.757,53.247,52.600,56.648
7.547,52.312,49.422,50.067,54.103,52.340,53.134,54.353
7.555,53.263,52.537,51.602,49.624,51.495,52.816,49.509
7.562,51.529,48.124,48.512,47.554,48.610,48.836,49.673
7.570,45.682,45.210,44.490,44.651,45.975,44.076,43.779
7.578,38.921,42.049,37.950,40.741,41.334,42.364,39.456
7.586,44.207,39.960,39.934,39.701,40.599,41.173,40.156
7.594,49.496,51.515,48.715,53.587,48.129,50.489,50.232
7.602,63.206,62.398,60.875,60.264,61.486,63.309,62.778
7.609,70.883,73.778,74.864,72.185,73.396,71.671,73.673
7.617,78.558,78.913,77.372,79.132,79.931,74.884,78.963
7.625,77.017,74.446,73.163,74.648,73.024,75.835,74.220
7.633,69.333,66.525,66.561,70.136,69.296,66.400,68.636
7.641,64.665,62.305,61.777,62.434,61.718,63.644,64.094
7.648,57.286,59.012,61.998,57.741,57.472,57.700,56.287
7.656,55.496,53.653,58.089,57.196,55.069,54.996,56.101
7.664,50.545,51.133,50.815,51.555,50.200,48.213,51.037
7.672,40.696,43.898,44.229,45.435,42.999,42.663,41.180
7.680,36.813,35.995,38.089,39.874,38.036,36.129,35.573
7.688,37.746,37.091,35.730,39.990,36.615,38.267,40.293
7.695,46.239,45.675,46.652,46.522,43.517,46.597,46.980
7.703,55.521,56.170,53.874,55.665,55.632,56.510,57.829
7.711,61.472,62.188,62.020,64.333,63.460,62.877,60.196
7.719,62.532,63.503,62.779,63.540,62.195,63.516,65.769
7.727,60.341,56.254,56.086,59.661,58.477,58.339,59.176
7.734,49.564,53.505,50.427,50.083,50.770,49.496,51.368
7.742,45.122,44.183,42.505,44.154,41.558,44.353,42.047
7.750,38.718,39.217,34.954,39.227,39.126,41.079,40.591
7.758,35.619,30.889,33.180,34.754,33.905,35.655,34.319
7.766,28.673,28.349,26.714,26.244,25.397,24.978,25.074
7.773,17.329,18.733,18.469,20.437,16.019,19.016,21.161
7.781,13.897,13.192,14.896,15.022,13.669,13.507,12.196
7.789,14.528,15.631,18.177,13.020,13.975,15.665,15.855
7.797,21.595,25.268,24.722,24.136,21.250,21.526,23.012
7.805,33.009,35.769,35.466,36.453,32.781,36.097,35.041
7.812,40.120,41.354,39.734,42.233,43.607,42.133,42.040
7.820,42.939,41.326,39.150,41.413,39.064,41.114,39.702
7.828,35.655,35.733,35.075,33.802,32.873,35.346,35.585
7.836,27.345,27.009,27.236,28.451,28.669,29.085,28.473
7.844,20.507,21.297,22.702,22.537,21.503,23.885,20.668
7.852,20.391,19.792,19.934,18.666,21.498,21.945,19.653
7.859,17.003,14.610,15.112,13.835,15.411,16.798,15.617
7.867,8.924,11.456,10.567,11.837,8.677,9.408,12.155
7.875,2.737,2.216,3.601,4.493,4.354,4.496,4.548
7.883,2.453,0.993,1.527,2.018,1.135,4.065,3.174
7.891,10.618,7.999,8.933,6.860,6.715,7.527,7.306
7.898,22.114,20.557,22.848,20.960,19.414,17.368,19.034
7.906,28.962,31.822,33.714,32.169,33.130,31.141,29.846
7.914,41.307,37.935,42.373,40.073,40.084,37.857,41.340
7.922,40.361,38.816,38.258,39.518,41.517,42.023,38.312
7.930,37.163,35.784,35.454,36.621,39.311,36.660,35.094
7.938,29.508,28.928,29.136,32.414,30.526,30.734,29.199
7.945,28.391,29.666,28.649,29.380,28.846,31.052,28.314
7.953,29.219,28.103,29.878,26.582,29.074,27.214,29.136
7.961,27.252,23.067,26.491,27.345,23.920,25.478,25.967
7.969,25.271,23.721,22.833,24.703,22.072,19.834,23.571
7.977,20.179,19.192,21.901,21.548,18.559,19.661,17.427
7.984,20.993,21.821,18.164,20.674,19.148,22.875,20.355
7.992,27.327,26.902,28.346,30.150,27.930,26.654,30.240
8.000,41.079,41.628,41.086,43.719,44.166,40.339,43.650
8.008,55.112,55.162,55.001,55.283,54.035,53.766,54.945
8.016,61.305,64.487,59.877,60.310,63.290,64.525,63.785
8.023,61.655,64.052,59.632,60.238,63.659,62.064,60.211
8.031,56.548,59.272,57.028,58.331,60.662,56.315,57.663
8.039,53.952,51.743,54.978,53.969,54.937,54.295,55.313
8.047,53.378,51.187,53.368,52.528,51.204,52.491,51.841
8.055,51.532,50.094,48.782,49.173,51.795,49.164,52.586
8.062,46.547,49.236,49.202,48.321,51.566,50.149,46.830
8.070,44.739,45.293,46.155,44.024,42.923,45.135,46.137
8.078,39.051,40.693,42.283,41.801,41.577,40.457,41.319
8.086,42.849,43.729,42.231,40.549,40.383,43.672,40.261
8.094,47.914,51.665,51.963,51.070,52.268,49.417,52.863
8.102,62.523,63.294,62.682,61.428,63.016,63.253,63.031
8.109,70.638,72.710,73.172,71.545,71.482,72.734,71.714
8.117,77.374,76.281,79.502,75.434,77.679,79.610,79.269
8.125,74.255,75.672,73.380,75.261,75.168,73.004,76.321
8.133,67.985,67.436,67.171,66.910,68.831,66.288,70.384
8.141,61.759,63.497,61.060,63.908,65.331,65.025,64.999
8.148,59.600,59.803,61.031,59.823,61.240,60.937,59.330
8.156,53.169,56.233,56.291,54.711,55.544,54.240,54.628
8.164,48.890,51.544,51.215,51.756,50.688,51.388,49.518
8.172,44.348,42.837,41.570,42.864,44.879,43.230,40.990
8.180,39.513,37.941,37.426,37.304,39.091,39.143,38.342
8.188,37.717,40.858,37.701,38.194,39.582,38.591,38.353
8.195,47.846,45.150,46.990,43.167,46.772,47.703,44.085
8.203,59.074,54.659,54.603,56.871,56.010,54.309,54.796
8.211,66.173,65.698,62.223,63.656,63.254,62.340,65.078
8.219,64.964,67.032,63.099,61.483,66.602,62.056,62.691
8.227,58.484,60.531,58.512,60.131,61.426,57.199,59.091
8.234,49.212,50.864,49.551,47.238,47.784,52.677,48.486
8.242,45.139,42.541,43.633,42.976,44.721,43.802,46.075
8.250,39.919,38.566,37.420,37.400,38.864,39.789,39.821
8.258,32.308,35.488,32.505,35.578,34.955,34.469,33.068
8.266,27.713,25.926,24.704,27.860,26.456,23.927,27.509
8.273,20.720,18.633,15.881,17.976,16.962,16.978,18.513
8.281,14.867,12.570,13.966,12.242,15.657,16.166,14.826
8.289,15.651,15.789,16.404,16.450,18.754,15.950,17.490
8.297,23.679,22.893,23.224,24.982,23.314,25.061,22.126
8.305,33.330,36.326,33.110,35.942,34.641,34.199,33.987
8.312,39.097,42.314,40.587,41.268,39.782,44.186,40.620
8.320,41.461,39.332,38.834,42.801,43.600,39.242,39.499
8.328,35.875,36.127,36.353,36.922,35.865,35.782,37.691
8.336,28.947,29.647,29.990,27.413,26.422,30.060,28.869
8.344,21.176,21.715,25.155,24.102,20.924,21.573,22.890
8.352,19.907,21.954,19.767,21.316,19.734,21.024,20.726
8.359,13.705,13.432,13.729,14.216,14.195,14.944,15.629
8.367,11.463,8.193,9.780,11.309,12.600,12.559,10.104
8.375,6.952,3.641,4.405,5.351,3.832,2.711,2.574
8.383,4.094,2.293,1.225,0.635,4.920,3.925,2.359
8.391,7.629,9.341,6.795,11.079,10.364,6.367,8.155
8.398,21.399,19.431,17.146,19.364,18.823,20.466,20.162
8.406,32.706,30.419,29.625,32.273,29.611,32.918,28.547
8.414,39.592,37.877,38.155,37.725,40.603,39.148,40.370
8.422,40.413,40.147,42.051,42.524,41.190,42.179,41.558
8.430,37.094,35.414,35.286,36.286,38.283,34.670,36.923
8.438,31.301,33.090,33.293,31.364,30.310,29.963,31.039
8.445,30.805,26.784,30.062,31.798,29.837,28.176,28.200
8.453,26.654,29.714,29.406,29.565,24.691,28.246,30.312
8.461,25.603,24.987,28.211,27.823,24.712,28.727,28.950
8.469,20.560,21.062,23.468,24.112,24.167,21.376,24.840
8.477,18.904,20.095,16.324,21.004,18.049,17.978,20.371
8.484,19.339,21.297,21.729,20.998,22.539,19.302,20.722
8.492,27.001,27.838,29.783,26.505,25.399,31.356,27.760
8.500,42.089,42.873,41.159,45.105,43.082,40.824,43.221
8.508,52.540,55.175,53.223,58.135,53.646,56.436,54.017
8.516,64.685,63.194,61.540,64.037,60.302,59.491,64.604
8.523,60.488,59.692,60.175,62.553,61.317,63.607,63.597
8.531,58.930,60.375,59.184,58.224,57.039,58.815,61.057
8.539,55.031,54.544,52.925,53.968,56.781,51.893,55.532
8.547,50.126,54.394,55.534,55.065,49.824,52.747,55.049
8.555,51.292,53.999,52.989,53.998,53.691,49.521,53.084
8.562,47.100,47.900,49.940,50.210,49.115,48.517,47.622
8.570,46.795,41.235,44.994,43.418,44.877,42.837,42.427
8.578,42.182,38.588,39.376,41.219,39.668,39.966,39.078
8.586,41.628,42.298,40.888,42.276,41.888,41.611,44.659
8.594,51.107,51.064,51.730,52.210,48.735,50.524,50.731
8.602,63.472,64.821,60.628,64.715,61.812,63.339,62.558
8.609,73.573,71.771,74.824,73.809,71.360,72.255,74.797
8.617,78.838,77.438,76.182,79.715,79.061,75.363,79.186
8.625,75.633,73.240,73.975,73.610,75.702,74.925,75.322
8.633,69.283,68.056,69.500,69.280,70.209,67.925,69.828
8.641,63.129,63.455,61.118,62.297,61.294,60.527,63.319
8.648,60.204,59.191,57.969,58.952,57.452,59.410,56.534
8.656,55.420,56.509,54.124,56.750,53.616,54.491,53.879
8.664,51.303,48.681,51.102,49.133,49.953,49.381,52.589
8.672,43.091,42.901,41.890,41.037,43.296,43.161,44.100
8.680,38.809,36.822,34.757,37.054,36.528,35.237,39.014
8.688,38.772,40.057,38.947,36.738,39.310,39.054,38.266
8.695,45.412,46.712,45.955,46.523,48.475,46.918,43.819
8.703,57.038,53.808,58.132,56.908,54.219,56.760,55.915
8.711,65.061,64.805,65.749,65.509,65.601,62.534,63.024
8.719,64.378,65.885,65.116,63.113,63.418,61.732,64.110
8.727,57.216,57.085,56.469,55.984,58.143,56.731,58.577
8.734,50.896,49.944,50.329,51.981,50.502,46.843,53.333
8.742,44.942,43.361,45.450,45.433,42.252,42.660,43.320
8.750,40.406,40.102,38.246,40.201,41.458,39.613,39.349
8.758,33.369,32.338,32.941,32.953,34.899,32.482,35.376
8.766,26.729,28.323,26.605,25.095,26.342,28.039,27.343
8.773,19.010,17.463,20.981,22.149,20.063,20.095,18.912
8.781,14.383,14.044,12.961,14.278,12.471,14.926,14.752
8.789,14.492,15.737,13.461,15.516,13.700,13.691,17.143
8.797,26.708,25.083,23.297,23.357,26.560,25.534,24.752
8.805,36.652,34.669,34.268,35.349,32.795,34.827,37.826
8.812,42.283,42.531,41.969,41.965,41.132,40.662,39.439
8.820,43.384,41.320,41.805,42.250,40.608,42.407,39.009
8.828,36.449,34.815,35.052,33.671,37.463,36.728,37.390
8.836,26.410,25.318,29.022,29.009,28.934,27.316,27.868
8.844,21.106,21.230,25.002,19.966,23.849,21.367,20.488
8.852,18.808,18.864,17.754,19.462,17.254,17.580,18.110
8.859,17.955,17.959,18.273,14.181,16.103,18.137,17.276
8.867,9.307,10.314,11.723,9.650,11.618,9.807,9.216
8.875,3.733,6.066,6.019,2.510,5.137,5.694,7.062
8.883,2.148,3.334,2.041,2.126,1.317,3.150,5.609
8.891,10.499,8.620,7.601,7.007,8.471,9.311,9.308
8.898,17.820,17.387,21.956,20.225,19.113,21.493,20.446
8.906,30.368,34.521,34.155,30.471,33.488,29.870,31.440
8.914,38.373,39.108,39.769,42.173,40.614,41.587,41.863
8.922,38.076,43.406,39.679,42.687,41.153,40.942,42.534
8.930,37.581,36.848,38.015,35.433,34.281,37.411,35.147
8.938,31.931,34.269,33.810,29.477,30.174,31.447,30.389
8.945,32.147,30.223,26.425,29.880,30.737,31.210,27.736
8.953,27.453,27.061,26.669,29.244,29.609,26.235,26.330
8.961,25.504,28.138,26.314,28.632,26.250,27.153,24.647
8.969,23.660,20.996,24.886,23.896,21.513,20.851,23.036
8.977,21.698,17.243,20.354,16.366,20.687,18.626,18.231
8.984,20.304,21.995,21.120,20.766,19.831,22.021,21.362
8.992,28.550,29.452,27.668,26.710,28.066,30.937,27.896
9.000,42.960,43.334,43.909,41.969,43.557,39.728,43.149
9.008,56.116,55.440,53.954,53.856,58.169,55.268,54.138
9.016,60.739,63.010,60.395,62.978,60.332,59.924,62.121
9.023,60.785,63.437,62.882,60.885,60.227,64.409,64.516
9.031,58.523,59.147,56.411,59.442,55.986,58.977,58.760
9.039,54.832,52.346,51.919,55.941,54.683,53.202,53.298
9.047,52.363,54.122,53.851,48.961,50.599,50.741,50.235
9.055,50.883,50.017,50.793,51.668,52.543,53.634,49.087
9.062,46.626,48.749,47.708,49.464,51.333,49.058,51.584
9.070,42.621,46.671,42.806,44.816,43.206,41.737,44.164
9.078,42.729,41.222,42.487,41.124,42.265,40.457,38.816
9.086,44.657,40.085,40.720,44.321,42.846,41.384,42.363
9.094,51.104,51.257,52.402,48.661,47.884,50.421,51.253
9.102,61.181,60.642,60.371,63.202,62.013,62.614,64.168
9.109,75.572,72.760,71.911,73.192,74.152,73.228,73.640
9.117,78.866,75.317,79.370,79.005,77.760,78.348,79.299
9.125,76.967,76.344,72.778,72.728,74.298,76.030,74.196
9.133,68.426,68.829,66.651,68.739,68.471,67.173,66.839
9.141,63.484,63.537,64.587,64.699,59.705,60.634,60.540
9.148,57.365,57.703,58.442,56.873,60.499,59.771,59.531
9.156,54.549,54.373,57.553,56.137,54.904,53.390,55.298
9.164,52.631,47.731,50.733,48.335,49.482,51.509,51.642
9.172,40.291,41.984,40.414,42.084,44.756,44.293,43.036
9.180,37.619,38.494,36.339,38.914,37.556,36.286,38.982
9.188,40.154,37.162,39.594,40.183,38.115,38.417,39.621
9.195,45.621,44.802,48.419,47.742,44.545,44.999,46.919
9.203,54.197,54.121,52.688,55.114,56.012,54.674,55.216
9.211,65.130,65.715,64.977,64.633,62.226,65.588,63.905
9.219,62.713,63.644,65.976,62.748,61.048,62.367,65.698
9.227,56.648,58.508,58.034,57.002,57.817,56.847,58.046
9.234,49.672,49.499,52.668,52.658,51.289,50.953,50.367
9.242,46.259,45.913,45.622,43.657,41.397,43.169,42.781
9.250,40.315,36.540,38.727,39.015,39.893,39.356,37.885
9.258,35.602,34.739,33.660,35.606,31.837,34.290,32.393
9.266,24.774,24.251,29.309,30.175,27.086,25.589,28.194
9.273,20.138,19.798,17.150,18.886,16.673,18.601,19.732
9.281,15.364,13.766,12.546,13.656,16.064,16.022,14.374
9.289,15.789,13.711,18.179,16.553,15.524,16.260,12.801
9.297,22.943,26.433,25.412,23.860,26.940,27.650,24.286
9.305,34.914,33.575,35.472,35.631,37.796,33.959,33.882
9.312,39.305,41.257,41.044,42.843,43.621,44.007,39.316
9.320,42.316,38.430,41.401,38.393,41.254,40.759,40.015
9.328,33.715,34.345,33.332,35.706,33.546,35.810,32.848
9.336,25.960,28.092,28.703,28.098,29.574,30.392,30.346
9.344,20.535,21.277,21.875,23.093,20.855,23.294,23.516
9.352,18.607,17.141,20.754,20.570,20.416,18.810,20.615
9.359,17.500,17.168,16.007,14.427,13.014,17.089,13.223
9.367,11.765,8.553,12.476,8.341,9.176,10.949,12.290
9.375,2.891,5.483,5.948,4.936,5.664,4.684,5.464
9.383,1.550,3.518,2.899,4.866,2.328,3.196,4.073
9.391,10.909,8.964,8.079,9.191,9.539,6.363,7.911
9.398,19.568,18.776,16.949,18.065,20.455,20.451,18.366
9.406,32.669,32.451,33.082,32.040,33.060,33.334,34.368
9.414,39.428,40.576,38.634,38.789,39.614,38.006,39.238
9.422,40.170,38.401,41.867,40.173,38.661,38.257,40.435
9.430,38.558,38.767,38.694,36.617,36.430,38.782,36.452
9.438,33.644,30.222,31.841,28.561,34.004,33.399,31.408
9.445,30.094,27.604,30.914,26.950,28.936,29.963,30.643
9.453,28.960,27.720,27.533,28.296,28.402,25.322,27.653
9.461,25.117,25.913,26.893,29.068,27.234,28.852,26.334
9.469,23.066,22.017,22.217,21.225,20.967,21.186,24.857
9.477,20.895,18.658,17.396,17.608,20.668,17.695,17.367
9.484,17.637,20.840,21.943,19.350,21.742,18.930,19.148
9.492,26.841,27.578,27.813,30.224,30.282,26.153,27.614
9.500,38.446,42.984,40.369,43.054,41.329,39.679,39.643
9.508,56.626,51.907,52.919,52.512,52.827,51.543,57.845
9.516,61.908,61.907,61.740,64.327,61.469,62.530,63.427
9.523,60.149,64.325,63.677,62.989,62.083,63.712,62.024
9.531,57.428,60.530,58.587,57.649,58.358,58.284,56.157
9.539,53.504,53.885,54.966,54.200,54.646,55.128,54.255
9.547,51.837,52.875,51.410,52.844,50.901,51.514,54.378
9.555,52.485,52.613,50.587,49.872,51.171,53.124,48.896
9.562,48.549,46.556,47.525,48.307,47.909,46.869,46.834
9.570,45.308,41.765,44.153,43.936,44.580,44.673,45.273
9.578,37.643,39.360,43.103,37.629,42.391,42.709,39.780
9.586,43.295,41.128,40.000,43.221,44.261,40.796,43.764
9.594,49.665,52.056,50.684,48.309,53.811,48.089,50.699
9.602,61.627,64.423,61.300,62.261,63.446,63.052,62.091
9.609,75.800,74.209,72.072,73.225,75.698,70.765,71.464
9.617,77.771,76.000,80.269,76.469,76.671,78.921,76.166
9.625,76.671,73.618,74.012,75.841,72.203,72.238,74.418
9.633,68.657,67.169,67.810,69.988,69.579,68.366,69.410
9.641,64.424,65.178,62.655,63.199,61.148,59.948,61.394
9.648,59.137,56.089,59.796,58.132,58.502,58.672,58.627
9.656,55.175,57.443,56.874,53.253,53.866,57.712,56.653
9.664,51.315,49.853,47.002,51.716,50.355,50.957,51.539
9.672,43.266,43.711,42.918,41.248,41.102,42.261,40.945
9.680,35.352,39.673,36.582,37.667,38.214,38.324,35.660
9.688,36.724,38.099,38.876,39.165,38.194,36.509,40.168
9.695,43.880,46.552,43.810,46.042,46.111,46.335,45.076
9.703,56.456,54.084,54.143,55.720,57.278,54.833,56.863
9.711,62.817,65.051,65.430,65.462,65.579,62.592,62.000
9.719,64.326,64.383,65.525,67.112,62.882,62.427,63.993
9.727,59.536,59.198,60.900,57.992,60.201,56.634,61.233
9.734,48.861,51.549,52.088,51.092,48.055,50.294,48.896
9.742,41.653,45.204,41.431,40.107,41.764,45.155,41.714
9.750,40.590,35.256,37.156,42.245,37.891,40.736,36.185
9.758,31.642,32.808,31.753,34.058,32.896,34.839,32.823
9.766,29.424,29.132,26.781,27.129,26.956,26.540,28.995
9.773,16.633,18.053,21.193,17.838,18.862,17.145,18.293
9.781,12.610,16.081,13.865,12.411,16.602,14.136,12.539
9.789,18.332,17.370,14.384,13.741,16.981,17.979,19.072
9.797,26.682,24.483,25.961,25.157,24.352,25.985,24.797
9.805,32.606,31.515,35.680,35.351,32.967,35.121,35.045
9.812,42.612,38.556,39.916,41.578,40.445,43.704,41.719
9.820,41.380,40.845,41.500,43.105,39.287,40.016,40.330
9.828,34.435,33.299,33.105,36.727,34.893,37.007,37.073
9.836,28.979,28.618,28.393,28.929,26.310,30.137,30.930
9.844,24.586,21.143,21.005,21.450,24.457,24.482,23.494
9.852,19.680,18.906,18.886,17.824,18.445,18.121,20.060
9.859,16.930,18.536,14.132,18.595,13.286,14.325,17.637
9.867,8.527,9.473,10.990,7.784,13.003,13.241,10.397
9.875,2.433,3.135,3.532,3.431,5.746,4.750,2.792
9.883,3.687,4.070,0.523,5.394,0.693,2.213,1.639
9.891,10.356,9.075,7.727,9.094,7.570,9.839,9.593
9.898,22.204,22.434,18.152,16.431,17.176,19.470,19.268
9.906,32.849,33.170,33.374,32.839,31.630,30.270,32.275
